"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 19 00:08:33 GMT 2025","Tue Aug 19 00:09:38 GMT 2025","65462","UI tests","chrome","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Tue Aug 19 00:09:12 GMT 2025","Tue Aug 19 00:09:12 GMT 2025","363","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Tue Aug 19 00:09:10 GMT 2025","Tue Aug 19 00:09:11 GMT 2025","593","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithSameIdTest","User should not be able to create two build types with the same id",""
"passed","Tue Aug 19 00:09:06 GMT 2025","Tue Aug 19 00:09:09 GMT 2025","3404","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Tue Aug 19 00:09:10 GMT 2025","Tue Aug 19 00:09:10 GMT 2025","611","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithIdExceedingLimitTest","User should not be able to create build type with id exceeding the limit",""
"passed","Tue Aug 19 00:09:02 GMT 2025","Tue Aug 19 00:09:05 GMT 2025","3588","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Tue Aug 19 00:10:01 GMT 2025","Tue Aug 19 00:10:28 GMT 2025","27051","UI tests","firefox","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Tue Aug 19 00:09:09 GMT 2025","Tue Aug 19 00:09:10 GMT 2025","297","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","unauthorizedUserCreatesBuildTypeTest","Unauthorized user should not be able to create build type",""
"passed","Tue Aug 19 00:08:50 GMT 2025","Tue Aug 19 00:08:55 GMT 2025","4389","Surefire suite","Surefire test","com.teamcity.api.SetupAgentTest","com.teamcity.api.SetupAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Tue Aug 19 00:09:13 GMT 2025","Tue Aug 19 00:09:14 GMT 2025","459","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesTwoProjectsWithSameIdTest","User should not be able to create two projects with the same id",""
"passed","Tue Aug 19 00:09:39 GMT 2025","Tue Aug 19 00:09:50 GMT 2025","11371","UI tests","chrome","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
"passed","Tue Aug 19 00:09:12 GMT 2025","Tue Aug 19 00:09:12 GMT 2025","155","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","unauthorizedUserCreatesProjectTest","Unauthorized user should not be able to create project",""
"passed","Tue Aug 19 00:08:33 GMT 2025","Tue Aug 19 00:09:27 GMT 2025","54788","UI tests","chrome","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Tue Aug 19 00:10:17 GMT 2025","Tue Aug 19 00:10:33 GMT 2025","15794","UI tests","firefox","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
"passed","Tue Aug 19 00:09:10 GMT 2025","Tue Aug 19 00:09:10 GMT 2025","385","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Tue Aug 19 00:09:02 GMT 2025","Tue Aug 19 00:09:09 GMT 2025","7584","API tests","API tests","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildWithWireMockTest","User should be able to start build (with WireMock)",""
"passed","Tue Aug 19 00:09:02 GMT 2025","Tue Aug 19 00:09:16 GMT 2025","14009","API tests","API tests","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildTest","User should be able to start build",""
"passed","Tue Aug 19 00:09:14 GMT 2025","Tue Aug 19 00:09:14 GMT 2025","487","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userDeletesProjectTest","User should be able to delete project",""
"passed","Tue Aug 19 00:09:04 GMT 2025","Tue Aug 19 00:10:19 GMT 2025","74826","UI tests","firefox","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Tue Aug 19 00:09:04 GMT 2025","Tue Aug 19 00:09:59 GMT 2025","55485","UI tests","firefox","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
